total_cup_points,country_of_origin,altitude_mean_meters,latitude,longitude,country_cup_points_avg,avg_altitude_per_country,quality_category,country_entry_counts
85.92,Uganda,1650.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
85.92,Colombia,1800.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
85.83,Panama,1600.0,9.0,-80.0,83.7075,1515.0,Medium Quality,4
85.83,Ethiopia,1900.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
85.83,Guatemala,1524.0,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
85.83,Guatemala,1417.32,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
85.75,Papua New Guinea,1700.0,-6.0,147.0,85.75,1700.0,High Quality,1
85.58,El Salvador,1500.0,13.83,-88.92,83.11526315789474,1333.157894736842,Medium Quality,19
85.58,El Salvador,1350.0,13.83,-88.92,83.11526315789474,1333.157894736842,Medium Quality,19
85.5,Panama,1680.0,9.0,-80.0,83.7075,1515.0,Medium Quality,4
85.5,Kenya,1900.0,1.0,38.0,84.27130434782609,1502.3478260869565,Medium Quality,23
85.5,Ethiopia,1900.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
85.5,Uganda,1600.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
85.5,Guatemala,1731.264,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
85.42,Ethiopia,1900.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
85.42,Uganda,1950.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
85.42,Brazil,1250.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
85.42,El Salvador,1400.0,13.83,-88.92,83.11526315789474,1333.157894736842,Medium Quality,19
85.33,China,1700.0,35.0,105.0,82.9275,1463.125,Medium Quality,16
85.33,Guatemala,1770.0,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
85.33,Costa Rica,1300.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
85.33,Costa Rica,1300.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
85.33,Kenya,1600.0,1.0,38.0,84.27130434782609,1502.3478260869565,Medium Quality,23
85.33,Kenya,1200.0,1.0,38.0,84.27130434782609,1502.3478260869565,Medium Quality,23
85.25,Colombia,1550.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
85.25,Colombia,1550.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
85.17,Indonesia,1325.0,-5.0,120.0,82.90235294117646,1363.235294117647,Medium Quality,17
85.17,Guatemala,1400.0,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
85.08,Colombia,2560.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
85.08,Ethiopia,1700.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
85.08,Colombia,2136.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
85.0,Uganda,1800.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
85.0,Costa Rica,1900.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
85.0,Mexico,1300.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
85.0,Kenya,1.0,1.0,38.0,84.27130434782609,1502.3478260869565,Medium Quality,23
85.0,Kenya,1580.0,1.0,38.0,84.27130434782609,1502.3478260869565,Medium Quality,23
85.0,Brazil,1100.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
85.0,Mexico,1400.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
85.0,Guatemala,1325.88,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
84.92,Colombia,1775.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.92,Taiwan,800.0,23.5,121.0,81.94771428571428,729.2714285714286,Medium Quality,70
84.92,"Tanzania, United Republic of",1620.0,-6.0,35.0,82.30945945945946,1562.7297297297298,Medium Quality,37
84.92,Colombia,1775.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
84.92,Mexico,1200.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
84.92,Brazil,1200.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
84.92,Brazil,1000.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
84.83,Taiwan,350.0,23.5,121.0,81.94771428571428,729.2714285714286,Medium Quality,70
84.83,Uganda,1650.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
84.83,Ethiopia,1750.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
84.83,Ethiopia,1750.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
84.75,Kenya,1800.0,1.0,38.0,84.27130434782609,1502.3478260869565,Medium Quality,23
84.75,Honduras,1450.0,15.0,-86.5,80.8322,1425.92,Medium Quality,50
84.75,El Salvador,1200.0,13.83,-88.92,83.11526315789474,1333.157894736842,Medium Quality,19
84.75,Nicaragua,925.0,13.0,-85.0,80.01,1091.9117647058824,Medium Quality,17
84.67,El Salvador,1350.0,13.83,-88.92,83.11526315789474,1333.157894736842,Medium Quality,19
84.67,Indonesia,1200.0,-5.0,120.0,82.90235294117646,1363.235294117647,Medium Quality,17
84.67,Japan,170.0,36.0,138.0,84.67,170.0,Medium Quality,1
84.67,Costa Rica,1150.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
84.67,Guatemala,1600.0,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
84.67,Costa Rica,1750.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
84.67,Ethiopia,1900.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
84.67,Costa Rica,1750.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
84.67,Costa Rica,1200.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
